Actor
SEAGAL, STEVEN
SEDGWICK, KYRA
SEIBEL, MARY
SELMOUR, RON
SERANO, GREG
SERNA, PEPE
SERRA, RAYMOND
SHANDLING, GARRY
SHARPTON, AL
SHAW, JOHN (I)
SHAW, STAN (I)
SHEEDY, ALLY
SHIELDS, CHRIS (I)
SHIMONO, SAB
SHINKODA, PETER
SHORT, MARTIN (I)
SHUTTLEWORTH, DARYL
SILVER, RON (I)
SIMMS, MICHAEL DAVID
SINGER, LEÛN
SINISE, GARY
SIVAK, NANCY
SKARSGÂRD, STELLAN
SKERRITT, TOM (I)
SKYE, IONE
SMIAR, BRIAN
SMITH, ANNA DEAVERE
SMITH, LAUREN LEE
SMITH, LOIS (I)
SMITROVICH, BILL
SNYDER, RICK (I)
SOMMER, JOSEF
SONGUI, KWASI
SOOD, MANOJ
SORVINO, MIRA
SOWERBY, JANE
SPACEY, KEVIN
SPIELBERG, STEVEN
SPINER, BRENT
ST. JOHN SMITH, MICHAEL
ST. THOMAS, CLAY
STAMP, TERENCE
STARR, BEAU
STEENBURGEN, MARY
STEIGER, ROD
STENBORG, HELEN
STERNHAGEN, FRANCES
STEUART, JACQUELINE ANN
STEWART, MALCOLM (I)
STIERS, DAVID OGDEN
STILLER, BEN
STILLER, JERRY
STOCKWELL, DEAN
STOLTZ, ERIC
STONE, SAM (I)
STRATHAIRN, DAVID
STREEP, MERYL
STREISAND, BARBRA
STRITCH, ELAINE
SUTHERLAND, DONALD (I)
TAYLOR, HOLLAND
TAYLOR, LILI (I)
TAYLOR, REGINA (I)
TENCH, JOHN
TERZO, VENUS
THIGPEN, LYNNE
THOMPSON, IAN (VII)
THORNTON, DAVID (I)
THURSTON, ROBERT (II)
TICKNER, FRENCH
TIRELLI, JAIME
TOBOLOWSKY, STEPHEN
TOMLIN, LILY
TOPOR, JOHN
TORN, RIP
TOUSEY, SHEILA
TOWNSEND, ROBERT (I)
TRACEY, IAN
TSAR, MIKE
TUCCI, STANLEY (I)
TUPPER, REG
TURMAN, GLYNN
TURNER, KATHLEEN (I)
TURTON, KETT
ULC, ANTHONY
ULLMAN, TRACEY
USTINOV, PETER
VAN PEEBLES, MARIO
VAN PEEBLES, MELVIN
VANOVA, APOLLONIA
VARUGHESE, SUGITH
VENTURA, JESSE (I)
VENTURE, RICHARD
VEREEN, BEN (I)
VIDAL, GORE
VISNJIC, GORAN
VOIGHT, JON
VON BARGEN, DANIEL
VON DOHLEN, LENNY
WAGNER, ROBERT (I)
WALKEN, CHRISTOPHER
WALKER, LOU
WALLACH, ELI
WARD, FRED (I)
WASHINGTON, DENZEL
WASSERMAN, JERRY
WATANABE, GEDDE
WATSON, BRETT (I)
WATSON-JOHNSON, VERNEE
WATTS, NAOMI
WEBER, STEVEN (I)
WELCH, RAQUEL
WEN, MING-NA
WHALEY, FRANK (I)
WHEELER, ANDREW (I)
WHEELER, JANE
WHITAKER, FOREST
WHITE, BETTY (I)
WHITFIELD, LYNN
WIEST, DIANNE
WILDER, ALAN (I)
WILLIAMS, DENALDA
WILLIAMS, ROBIN (I)
WILLIAMS, TREAT
WILSON, OWEN (I)
WINDE, BEATRICE
WINFIELD, PAUL (I)
